site,camera,date,well,latitude,longitude,fc,dtgw,fp,pred
Hunter,4.0,2012-06-19,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.24111111111111,1.0,0
Hunter,4.0,2012-06-20,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.286041666666666,1.0,0
Hunter,4.0,2012-06-21,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.254583333333333,1.0,0
Hunter,4.0,2012-06-22,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.313541666666666,1.0,0
Hunter,4.0,2012-06-23,Cotblm,31.48088171457681,-110.1185904409986,1.0,17.399583333333336,1.0,0
Hunter,4.0,2012-06-24,Cotblm,31.48088171457681,-110.1185904409986,1.0,17.319166666666664,1.0,0
Hunter,4.0,2012-06-25,Cotblm,31.48088171457681,-110.1185904409986,1.0,17.264583333333334,1.0,0
Hunter,4.0,2012-06-26,Cotblm,31.48088171457681,-110.1185904409986,1.0,17.338333333333335,1.0,0
Hunter,4.0,2012-06-27,Cotblm,31.48088171457681,-110.1185904409986,1.0,17.380208333333332,1.0,0
Hunter,4.0,2012-06-28,Cotblm,31.48088171457681,-110.1185904409986,1.0,17.287916666666668,1.0,0
Hunter,4.0,2012-06-29,Cotblm,31.48088171457681,-110.1185904409986,1.0,17.286458333333332,1.0,0
Hunter,4.0,2012-06-30,Cotblm,31.48088171457681,-110.1185904409986,1.0,17.394791666666666,1.0,0
Hunter,4.0,2012-07-01,Cotblm,31.48088171457681,-110.1185904409986,1.0,17.52145833333333,1.0,0
Hunter,4.0,2012-07-02,Cotblm,31.48088171457681,-110.1185904409986,1.0,17.554375,1.0,0
Hunter,4.0,2012-07-03,Cotblm,31.48088171457681,-110.1185904409986,1.0,17.510208333333335,1.0,0
Hunter,4.0,2012-07-04,Cotblm,31.48088171457681,-110.1185904409986,1.0,17.49020833333333,1.0,0
Hunter,4.0,2012-07-05,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.438958333333336,1.0,0
Hunter,4.0,2012-07-06,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.449583333333333,1.0,0
Hunter,4.0,2012-07-07,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.476458333333333,1.0,0
Hunter,4.0,2012-07-08,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.44125,1.0,0
Hunter,4.0,2012-07-09,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.351875,1.0,0
Hunter,4.0,2012-07-10,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.41270833333333,1.0,0
Hunter,4.0,2012-07-11,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.462500000000002,1.0,0
Hunter,4.0,2012-07-12,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.509583333333335,1.0,0
Hunter,4.0,2012-07-13,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.491875,1.0,0
Hunter,4.0,2012-07-14,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.392083333333336,1.0,0
Hunter,4.0,2012-07-15,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.35125,1.0,0
Hunter,4.0,2012-07-16,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.354583333333334,1.0,0
Hunter,4.0,2012-07-17,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.199583333333333,1.0,0
Hunter,4.0,2012-07-18,Cotblm,31.48088171457681,-110.1185904409986,2.0,16.975416666666668,1.0,0
Hunter,4.0,2012-07-19,Cotblm,31.48088171457681,-110.1185904409986,2.0,16.985416666666666,1.0,0
Hunter,4.0,2012-07-20,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.129583333333333,1.0,0
Hunter,4.0,2012-07-21,Cotblm,31.48088171457681,-110.1185904409986,2.0,16.991041666666664,1.0,0
Hunter,4.0,2012-07-22,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.08125,1.0,0
Hunter,4.0,2012-07-23,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.043541666666666,1.0,0
Hunter,4.0,2012-07-24,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.08875,1.0,0
Hunter,4.0,2012-07-25,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.05875,1.0,0
Hunter,4.0,2012-07-26,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.085,1.0,0
Hunter,4.0,2012-07-27,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.065208333333334,1.0,0
Hunter,4.0,2012-07-28,Cotblm,31.48088171457681,-110.1185904409986,2.0,17.078125,1.0,0
