site_no,datetime,height_abv_lowest_ft,dec_lat_va,dec_long_va,dist_to_stream_km
312127110073101,2001-06-21,4.699999999999818,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2001-08-10,4.400000000000546,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2001-12-19,5.240000000000691,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2002-06-12,2.8100000000004,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2002-11-01,2.119999999999891,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2003-03-13,5.119999999999891,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2003-08-13,3.5399999999999636,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2004-02-12,4.8200000000006185,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2004-04-23,4.8100000000004,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2006-10-02,5.170000000000073,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2006-11-06,5.020000000000437,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2006-12-12,5.039999999999964,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2006-12-19,5.039999999999964,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2007-01-23,5.020000000000437,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2007-02-23,5.020000000000437,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2007-03-21,5.010000000000218,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2007-04-11,4.949999999999818,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2007-05-10,4.960000000000036,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2007-05-18,4.8400000000001455,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2007-06-13,3.930000000000291,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2007-07-18,3.610000000000582,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2007-08-10,6.270000000000437,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2007-09-10,5.949999999999818,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2007-10-01,4.860000000000582,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2007-10-11,4.770000000000437,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2007-10-22,4.740000000000691,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2007-11-08,4.800000000000182,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2007-11-14,4.850000000000364,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2007-12-17,4.900000000000546,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2008-01-28,4.960000000000036,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2008-02-22,4.930000000000291,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2008-03-12,4.960000000000036,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2008-04-22,4.960000000000036,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2009-06-22,3.2600000000002183,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2009-07-31,2.9400000000005093,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2009-09-24,2.6400000000003274,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2009-12-29,4.990000000000691,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2010-01-26,4.369999999999891,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2010-02-16,4.490000000000691,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2010-03-15,4.630000000000109,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2010-06-24,2.7899999999999636,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2010-07-15,2.4099999999998545,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2010-09-08,4.990000000000691,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2010-11-30,4.890000000000327,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2011-01-20,4.970000000000255,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2011-07-20,3.0200000000004366,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2011-09-21,3.490000000000691,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2012-03-19,4.8400000000001455,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2012-06-18,2.530000000000655,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2012-09-11,5.6599999999998545,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2013-05-29,3.0700000000006185,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2013-07-01,2.3200000000006185,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2013-10-29,3.699999999999818,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2014-01-07,5.130000000000109,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2014-04-02,4.5,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2014-06-25,2.369999999999891,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2014-10-07,5.369999999999891,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2015-01-14,5.079999999999927,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2015-04-15,4.970000000000255,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2015-07-14,3.6599999999998545,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2015-10-07,4.579999999999927,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2016-01-15,4.680000000000291,31.3575222,-110.1260028,0.06725507908988854
312127110073101,2016-04-19,4.490000000000691,31.3575222,-110.1260028,0.06725507908988854
