Date,ET
2000-10-07,60.4829249345893
2000-10-15,47.70699008489514
2000-10-23,54.99498482643232
2000-10-31,64.80053694368921
2000-11-08,51.95517501888693
2000-11-16,31.82159213620784
2000-11-24,12.155291114819732
2000-12-02,28.097080955571965
2000-12-10,30.999948781206115
2000-12-18,11.016099774210486
2000-12-26,26.178143233357105
2001-01-01,38.0
2001-01-09,62.79884245525826
2001-01-17,44.303778666518696
2001-01-25,57.77493181498064
2001-02-02,31.985389839044934
2001-02-10,49.75842655865191
2001-02-18,22.820618979124063
2001-02-26,50.70363952212866
2001-03-06,46.4686263546304
2001-03-14,16.081117764811825
2001-03-22,13.889649108579565
2001-03-30,37.31551203855068
2001-04-07,31.583330843530852
2001-04-15,23.688670829616417
2001-04-23,28.332461191093035
2001-05-01,25.96215357955346
2001-05-09,35.0485426119024
2001-05-17,45.86885001003031
2001-05-25,38.0614241385639
2001-06-02,33.601884851614884
2001-06-10,33.32310095651097
2001-06-18,47.026667918681625
2001-06-26,40.63310270648643
2001-07-04,58.558391559142756
2001-07-12,70.36595828229233
2001-07-20,102.36518146391849
2001-07-28,93.64259525628599
2001-08-05,92.21697134735302
2001-08-13,67.94954948802547
2001-08-21,71.53687112924636
2001-08-29,102.0380128815266
2001-09-06,66.7200850231978
2001-09-14,76.15524843249148
2001-09-22,52.54759293009915
2001-09-30,52.478426217193295
2001-10-08,38.11000516456171
2001-10-16,21.17410548510601
2001-10-24,19.99557811079479
2001-11-01,19.105822296394624
2001-11-09,22.216296966566926
2001-11-17,17.03775678755725
2001-11-25,28.55542513733038
2001-12-03,21.0
2001-12-11,48.915467648929315
2001-12-19,26.1046741417651
2001-12-27,12.0
2002-01-01,31.492097366927183
2002-01-09,17.54535210786678
2002-01-17,29.182168176909695
2002-01-25,36.84589545390523
2002-02-02,38.352265791394395
2002-02-10,10.0
2002-02-18,13.796529073067877
2002-02-26,7.19819965939502
2002-03-06,8.991638531898637
2002-03-14,10.48702243809995
2002-03-22,4.717617984625824
2002-03-30,8.363986358727894
2002-04-07,8.829368856412378
2002-04-15,11.631864918967604
2002-04-23,7.1498320450383925
2002-05-01,7.150971663202287
2002-05-09,10.888168031789798
2002-05-17,17.122259260998156
2002-05-25,14.84620703490134
2002-06-02,23.2958824357951
2002-06-10,12.277981467333076
2002-06-18,6.806751490680314
2002-06-26,5.516861653769489
2002-07-04,24.21687744623093
