Date,ET
1999-10-31,51.75045741351892
1999-11-30,27.722653511396853
1999-12-31,18.446674988457794
2000-01-31,24.0839588926318
2000-02-29,21.7655819838922
2000-03-31,24.046758776354725
2000-04-30,30.21769463586464
2000-05-31,46.60830013166668
2000-06-30,64.98484978027051
2000-07-31,80.59593714197776
2000-08-31,78.21642926762539
2000-09-30,73.8722063576204
2000-10-31,38.27710709461194
2000-11-30,18.258938800636106
2000-12-31,17.351738171371895
2001-01-31,28.233836630700566
2001-02-28,23.69678186077531
2001-03-31,33.150741266394206
2001-04-30,38.42131632496025
2001-05-31,50.256630358578
2001-06-30,56.32926078555428
2001-07-31,94.59494536687133
2001-08-31,90.38668969408867
2001-09-30,77.25580957917956
2001-10-31,37.597416254852
2001-11-30,26.332962842632657
2001-12-31,21.370855491527173
2002-01-31,24.35079769497787
2002-02-28,23.174731964227707
2002-03-31,31.064191788786104
2002-04-30,39.8096219284896
2002-05-31,48.1838203861083
2002-06-30,60.3230707409244
2002-07-31,73.49349361331028
2002-08-31,93.68648791915322
2002-09-30,68.59519331064787
2002-10-31,50.015757254492925
2002-11-30,22.70743489338418
2002-12-31,19.973692310323006
2003-01-31,22.891127032711484
2003-02-28,34.46924642191482
2003-03-31,29.335048990270348
2003-04-30,39.29078675125255
2003-05-31,40.56527761153195
2003-06-30,51.42721567688655
2003-07-31,66.57702501667205
2003-08-31,62.35334553102714
2003-09-30,60.435885159282485
2003-10-31,52.0439971956704
2003-11-30,26.673629041911052
2003-12-31,19.30205536841025
2004-01-31,24.3099468203348
2004-02-29,20.842983191121913
2004-03-31,24.42408645542997
2004-04-30,42.04863117935738
2004-05-31,52.292402660693256
2004-06-30,57.876532549033044
2004-07-31,73.35772302115215
2004-08-31,62.710555565055316
2004-09-30,50.6087447205075
2004-10-31,41.74024041996547
2004-11-30,22.21868641097108
2004-12-31,18.78365623022862
2005-01-31,17.667704040628582
2005-02-28,22.726064875771623
2005-03-31,29.03784989996751
2005-04-30,34.665677741488686
2005-05-31,45.663300901147394
2005-06-30,46.97532531933447
2005-07-31,70.23557223713685
2005-08-31,94.98478138198732
2005-09-30,82.3584925018382
2005-10-31,57.627349053538765
2005-11-30,32.76382927788512
2005-12-31,19.413895111232726
2006-01-31,18.661488346642503
2006-02-28,26.86970982028351
2006-03-31,28.90890203655889
2006-04-30,40.620064636377634
2006-05-31,60.67142319727775
2006-06-30,59.68309365434928
2006-07-31,62.29128263880575
2006-08-31,99.69599528051845
2006-09-30,81.48951796309912
2006-10-31,51.36917118380331
2006-11-30,26.29601921991757
2006-12-31,23.38014910825739
2007-01-31,20.22656076332483
2007-02-28,29.38861339580376
2007-03-31,37.65585403806366
2007-04-30,42.085429455720686
2007-05-31,46.54614319180588
2007-06-30,56.61972264496162
2007-07-31,84.0968690685864
2007-08-31,83.84026435936458
2007-09-30,74.97152066483135
2007-10-31,48.94052769275492
2007-11-30,22.354696397120435
2007-12-31,14.339708623313552
2008-01-31,23.43516697730887
2008-02-29,25.935645765291298
2008-03-31,29.6214155024709
2008-04-30,34.14090901318377
2008-05-31,28.400471948154095
2008-06-30,69.56436278449412
2008-07-31,95.54651938236351
2008-08-31,127.6842906243053
2008-09-30,73.29849865768368
2008-10-31,45.45903797814676
2008-11-30,23.643114857817075
2008-12-31,26.639677844086112
2009-01-31,23.742967801508176
2009-02-28,35.77601272208067
2009-03-31,28.78181802636753
2009-04-30,37.20899950411248
2009-05-31,56.34965202373418
2009-06-30,78.16428412646843
2009-07-31,100.32205331646169
2009-08-31,92.07600759220936
2009-09-30,62.31766727655138
2009-10-31,41.02378550298389
2009-11-30,22.42156426873685
2009-12-31,24.452770985448264
2010-01-31,26.52730801456885
2010-02-28,18.742335117388546
2010-03-31,48.27561088216685
2010-04-30,41.743993775756245
2010-05-31,48.11656777414889
2010-06-30,56.374241206545705
2010-07-31,65.6704399719567
2010-08-31,99.95623364853549
2010-09-30,77.50919956909081
2010-10-31,51.327431131478605
2010-11-30,27.071476205947235
2010-12-31,23.71690805560781
2011-01-31,21.50351396179956
2011-02-28,21.753484037550653
2011-03-31,35.05387219780784
2011-04-30,33.61310511106173
2011-05-31,43.250491612660525
2011-06-30,63.268993348266974
2011-07-31,75.51980130298732
2011-08-31,103.70481010926625
2011-09-30,84.92112822968146
2011-10-31,54.17994733332193
2011-11-30,30.461209623638446
2011-12-31,19.170576768523123
2012-01-31,25.91867444127153
2012-02-29,30.22405567620252
2012-03-31,30.11940630290178
2012-04-30,39.61738000376189
2012-05-31,42.1749713582189
2012-06-30,61.845967066226635
2012-07-31,86.9955028128794
2012-08-31,101.97161471247068
2012-09-30,78.23146834014467
2012-10-31,47.68369213932729
2012-11-30,23.28254475812657
2012-12-31,24.058480532138642
2013-01-31,22.77631196456969
2013-02-28,24.30252560660729
2013-03-31,27.58260802653853
2013-04-30,28.517338964791985
2013-05-31,52.0330876694995
2013-06-30,61.07898291752875
2013-07-31,95.83531403361772
2013-08-31,102.36605051213218
2013-09-30,79.68535079769497
2013-10-31,48.76713804483508
2013-11-30,30.02937706263573
2013-12-31,23.454301397034943
2014-01-31,26.86953882457551
2014-02-28,26.574887570321977
2014-03-31,28.989252919751717
2014-04-30,50.14732135223405
2014-05-31,42.070852071613004
2014-06-30,56.13978044151093
2014-07-31,73.68866811443033
2014-08-31,107.78583642550575
2014-09-30,87.97750551461164
2014-10-31,68.25226996802381
2014-11-30,36.781193892033315
2014-12-31,20.20090285733828
2015-01-31,30.37697713787383
2015-02-28,33.527615806843265
2015-03-31,36.606444828234814
2015-04-30,46.96667293650931
2015-05-31,73.09643302953096
2015-06-30,85.20198013029872
2015-07-31,86.20743489338416
2015-08-31,89.67564679126549
2015-09-30,75.69273781228095
2015-10-31,63.39671004257792
2015-11-30,31.189676989107554
2015-12-31,20.69341324532754
2016-01-31,27.678878610146874
2016-02-29,37.008720781108366
2016-03-31,46.298036969272076
2016-04-30,47.90407140780767
2016-05-31,64.41469024127498
2016-06-30,79.45376276055474
2016-07-31,98.4943571416357
2016-08-31,109.56191754586958
2016-09-30,87.73688890408847
2016-10-31,60.33124433576719
2016-11-30,31.61873086985518
2016-12-31,27.20651151656094
2017-01-31,29.051033669054902
2017-02-28,36.367555274362616
2017-03-31,39.560532480634734
2017-04-30,52.21538619380657
2017-05-31,53.68450436894033
2017-06-30,61.379020536584505
2017-07-31,84.8393153331851
2017-08-31,120.81019476411139
2017-09-30,79.22608197534244
2017-10-31,57.24152288777551
2017-11-30,30.49709307296388
2017-12-31,21.097330756998005
2018-01-31,27.97839469229321
