Date,ET
1999-10-31,52.010862114421286
1999-11-30,25.30719746902187
1999-12-31,17.07192196150804
2000-01-31,22.802056419720536
2000-02-29,22.38228315317691
2000-03-31,20.035697337200112
2000-04-30,25.747587661481663
2000-05-31,41.91257579752173
2000-06-30,64.80616925916162
2000-07-31,89.07661481676769
2000-08-31,94.7782757711574
2000-09-30,93.72860532559976
2000-10-31,53.81038755602425
2000-11-30,25.455786976008433
2000-12-31,22.26148167677301
2001-01-31,32.93619825995253
2001-02-28,27.74558397047192
2001-03-31,34.777221196941746
2001-04-30,65.16403901924598
2001-05-31,76.3319799630899
2001-06-30,67.40701291853414
2001-07-31,87.94410756657001
2001-08-31,107.45283416820455
2001-09-30,90.91347218560513
2001-10-31,52.633851832322684
2001-11-30,35.760137094648044
2001-12-31,24.08383865014499
2002-01-31,26.2388083311363
2002-02-28,28.52428157131558
2002-03-31,35.08246770366464
2002-04-30,45.02989717901396
2002-05-31,55.341471131030836
2002-06-30,64.36087529659899
2002-07-31,67.75185868705505
2002-08-31,82.43343000263644
2002-09-30,64.80711837595574
2002-10-31,49.533087266016324
2002-11-30,22.451885051410496
2002-12-31,21.156973372001055
2003-01-31,25.425098866332718
2003-02-28,38.28083311363038
2003-03-31,28.662378064856316
2003-04-30,36.90893751647773
2003-05-31,36.416767730029
2003-06-30,42.71146849459528
2003-07-31,50.391510677563915
2003-08-31,52.87424202478249
2003-09-30,65.17363564460847
2003-10-31,48.2540469285526
2003-11-30,19.9819667809122
2003-12-31,16.769153704191933
2004-01-31,22.20590561560769
2004-02-29,19.311257579752176
2004-03-31,26.521961508041127
2004-04-30,40.53129448984972
2004-05-31,69.20226733456366
2004-06-30,39.924703401001835
2004-07-31,54.60706564724492
2004-08-31,60.588874242024794
2004-09-30,50.29760084365938
2004-10-31,44.55771157395203
2004-11-30,23.107882942262055
2004-12-31,20.74073292907989
2005-01-31,32.86659636171895
2005-02-28,48.204851041392025
2005-03-31,28.263538096493534
2005-04-30,37.554442393883484
2005-05-31,41.077616662272625
2005-06-30,36.352016873187466
2005-07-31,64.64903770102819
2005-08-31,107.8907461112576
2005-09-30,97.99709992090688
2005-10-31,62.27751120485103
2005-11-30,34.39984181386765
2005-12-31,24.53804376482995
2006-01-31,20.974848404956493
2006-02-28,28.73350909570259
2006-03-31,33.39778539414713
2006-04-30,41.20316372264694
2006-05-31,55.10076456630635
2006-06-30,60.425309781175834
2006-07-31,69.8378592143422
2006-08-31,104.5959926179805
2006-09-30,88.39746902188237
2006-10-31,60.41993145267596
2006-11-30,33.93145267598207
2006-12-31,23.446823095175315
2007-01-31,21.139151067756394
2007-02-28,38.599261798049056
2007-03-31,45.196889006063785
2007-04-30,53.68194041655683
2007-05-31,58.78096493540728
2007-06-30,79.05383601370946
2007-07-31,65.33677827577114
2007-08-31,108.5009227524387
2007-09-30,88.33872923807012
2007-10-31,56.64329027155283
2007-11-30,22.927339836540998
2007-12-31,13.809016609543892
2008-01-31,24.971526496177162
2008-02-29,25.953862378064848
2008-03-31,39.37569206432903
2008-04-30,33.6329554442394
2008-05-31,33.15286053255999
2008-06-30,73.03026627998943
2008-07-31,91.60532559978904
2008-08-31,121.68310044819407
2008-09-30,84.84692855259686
2008-10-31,60.58607962035326
2008-11-30,30.513788557869734
2008-12-31,21.292697073556553
2009-01-31,28.03437911943051
2009-02-28,46.158871605589205
2009-03-31,38.76925916161348
2009-04-30,37.52190877933036
2009-05-31,66.15539151067757
2009-06-30,72.12934352755077
2009-07-31,73.00326918006851
2009-08-31,92.45077774848403
2009-09-30,72.71347218560504
2009-10-31,45.66902188241497
2009-11-30,26.019720537832836
2009-12-31,30.350804112839405
2010-01-31,31.26137621935143
2010-02-28,24.223886105984718
2010-03-31,50.67962035328235
2010-04-30,49.52628526232533
2010-05-31,59.037121012391225
2010-06-30,67.89654626944372
2010-07-31,79.69454257843394
2010-08-31,124.69232797258107
2010-09-30,104.30503559187974
2010-10-31,64.70614289480623
2010-11-30,32.27624571579225
2010-12-31,24.543263907197463
2011-01-31,22.850514104930134
2011-02-28,20.378486686000528
2011-03-31,38.65188505141048
2011-04-30,48.01782230424465
2011-05-31,61.27371473767466
2011-06-30,77.24692855259686
2011-07-31,72.7435275507514
2011-08-31,100.97716846823094
2011-09-30,73.96461903506463
2011-10-31,42.98650145003955
2011-11-30,23.435328236224628
2011-12-31,18.254363300817296
2012-01-31,23.004165568151866
2012-02-29,22.512364882678614
2012-03-31,32.421566042710246
2012-04-30,36.63058265225412
2012-05-31,36.80638017400474
2012-06-30,56.894700764566274
2012-07-31,55.46902188241497
2012-08-31,77.19235433693643
2012-09-30,81.51531769048246
2012-10-31,59.75702610071183
2012-11-30,26.738149222251497
2012-12-31,22.075191141576596
2013-01-31,22.34289480622199
2013-02-28,24.213393092538894
2013-03-31,32.48141303199914
2013-04-30,31.303453730556285
2013-05-31,61.6712364882679
2013-06-30,66.00137094648038
2013-07-31,90.40854205114685
2013-08-31,120.8939625626153
2013-09-30,98.99767993672552
2013-10-31,68.50039546533088
2013-11-30,36.199209069338266
2013-12-31,34.16393356182442
2014-01-31,27.533772739256523
2014-02-28,34.142789348800406
2014-03-31,44.20079093066176
2014-04-30,59.3029791721592
2014-05-31,67.84307935670977
2014-06-30,84.64735038228312
2014-07-31,83.28473503822829
2014-08-31,106.16298444503029
2014-09-30,89.92533614553125
2014-10-31,76.50988663327183
2014-11-30,40.08146585815977
2014-12-31,22.333245452148706
2015-01-31,26.500079093066176
2015-02-28,33.5490113366728
2015-03-31,47.633008172950184
2015-04-30,68.5782757711574
2015-05-31,88.61297126285258
2015-06-30,105.19731083575006
2015-07-31,111.1623517005009
2015-08-31,106.64914315844979
2015-09-30,82.81080938571044
2015-10-31,68.75280780384922
2015-11-30,38.93329818085947
2015-12-31,24.06011073029264
2016-01-31,30.98059583443182
2016-02-29,39.231215396783554
2016-03-31,57.261745320326916
2016-04-30,60.24313208542048
2016-05-31,75.514210387556
2016-06-30,77.35987345109409
2016-07-31,102.84698128130766
2016-08-31,108.47218560506197
2016-09-30,85.79905088320588
2016-10-31,58.26997099920907
2016-11-30,32.85699973635645
2016-12-31,22.162562615344058
2017-01-31,28.895280780384905
2017-02-28,37.580279462167155
2017-03-31,40.34679673081991
2017-04-30,53.060585288689694
2017-05-31,52.045821249670446
2017-06-30,61.46928552596893
2017-07-31,75.06638544687586
2017-08-31,114.75533878196669
2017-09-30,81.37316108621145
2017-10-31,54.39124703400999
2017-11-30,33.22119694173477
2017-12-31,21.075507513841288
2018-01-31,27.647561297126277
2018-02-28,32.77026100711838
2018-03-31,28.570366464539937
2018-04-30,49.143000263643565
2018-05-31,58.30819931452675
2018-06-30,61.40790930661744
2018-07-31,74.23068810967571
2018-08-31,105.01639862905348
2018-09-30,84.5107302926443
2018-10-31,49.24703401001846
2018-11-30,50.93709464803587
2018-12-31,31.719483258634305
2019-01-31,23.64276298444504
2019-02-28,28.882573161086185
2019-03-31,50.53577643026627
2019-04-30,48.957078829422635
2019-05-31,67.22773530187189
2019-06-30,67.26417084102293
2019-07-31,88.4149222251516
2019-08-31,111.25763248088579
2019-09-30,94.54706037437383
2019-10-31,72.18934880042183
2019-11-30,36.643870287371485
2019-12-31,24.34394938043764
2020-01-31,31.93282362246243
2020-02-29,39.02393883469549
2020-03-31,58.54853677827577
2020-04-30,83.59151067756396
2020-05-31,91.82383337727394
2020-06-30,106.04756129712624
2020-07-31,111.04350118639596
2020-08-31,108.28294226206167
2020-09-30,88.83237542842073
2020-10-31,65.14532032691801
2020-11-30,38.72881624044291
2020-12-31,31.933192723437898
2021-01-31,25.62931716319536
2021-02-28,36.86058528868969
2021-03-31,40.038755602425525
2021-04-30,58.653203269180054
2021-05-31,63.76904824677035
2021-06-30,80.4761402583707
2021-07-31,92.5871869232797
2021-08-31,108.97258107039276
2021-09-30,106.54062747165828
2021-10-31,66.79931452675984
2021-11-30,31.42921170577379
2021-12-31,26.031479040337455
2022-01-31,24.688478776693913
2022-02-28,27.689902451885047
2022-03-31,42.986554178750325
2022-04-30,48.05067229106247
2022-05-31,75.76746638544692
2022-06-30,85.77326654363299
2022-07-31,110.14226206169265
2022-08-31,124.7955707882942
2022-09-30,100.64128658054308
2022-10-31,68.67123648826785
2022-11-30,33.6161877142104
2022-12-31,23.01840232006328
2023-01-31,24.062852623253352
2023-02-28,30.580279462167137
2023-03-31,34.622567888215144
2023-04-30,56.360137094648
2023-05-31,77.7536514632217
2023-06-30,69.77121012391245
2023-07-31,106.11410493013443
2023-08-31,82.3424729765357
2023-09-30,74.9450039546533
2023-10-31,56.11315581334037
2023-11-30,24.291431584497758
2023-12-31,25.165093593461638
2024-01-31,28.059267070920104
2024-02-29,33.27150013182177
2024-03-31,38.675243870287375
2024-04-30,48.60047455839703
2024-05-31,64.48273134721858
2024-06-30,67.05320326918005
2024-07-31,107.64924861587127
2024-08-31,109.8421302399156
2024-09-30,97.9047719483258
2024-10-31,58.16704455576062
2024-11-30,34.916899551805955
2024-12-31,24.350435011863965
