date,DW_SW,DW_LW,Air_Temp,SPFH,Pa,Precip,WS_u,WS_v,Albedo,LE_model,RH
2005-01-01,45.80416735,313.020838,278.6208375,0.004895833,98537.91667,6.7000001,0.691666677,5.266666745,0.141699634,0.0675640813366004,0.9427681164142444
2005-01-02,59.37083422,318.1875047,278.5125042,0.0050125,98713.75,3.900000058,-0.67500001,3.229166715,0.141389846,1.211989251763138,0.9743509665251252
2005-01-03,61.70416759,316.6041714,278.6125042,0.005316667,98340.41667,13.5000002,-1.020833349,-0.87916668,0.141957436,14.806019706795883,1.0223528465944636
2005-01-04,80.42916787,286.7875043,278.4416708,0.004841667,98249.16667,1.000000015,1.179166684,-1.525000023,0.141366632,10.041300240164844,0.941395275826078
2005-01-05,44.833334,302.9083378,277.9958375,0.004775,99136.66667,1.600000024,-1.14583335,2.079166698,0.140821604,5.956175218822482,0.9667426469191632
2005-01-06,65.28333431,300.5041711,278.0666708,0.004770833,99427.91667,0.0,-1.216666685,1.208333351,0.140374488,8.304627502445133,0.9639020119691885
2005-01-07,37.38750056,318.4708381,278.6625042,0.005375,97577.91667,25.30000038,-3.166666714,4.770833404,0.139982048,6.176520058275571,1.021958420280194
2005-01-08,44.745834,302.8500045,278.8791708,0.004908333,97480.41667,7.500000112,2.308333368,8.595833461,0.139594695,19.54031535198112,0.9182244476633354
2005-01-09,80.60833453,303.4541712,279.7666708,0.0053,98384.58333,2.00000003,-0.029166667,6.06250009,0.139252482,18.783611906247003,0.9405140830442864
2005-01-10,72.25000108,281.0083375,278.8458375,0.0050875,98599.16667,1.100000016,-1.100000016,2.900000043,0.138942059,6.167262273931561,0.9649184743212836
2005-01-11,45.90000068,311.2125046,278.6083375,0.0051875,97967.08333,27.80000041,0.412500006,3.291666716,0.138620827,9.205114716180969,0.9940192581283342
2005-01-12,112.2791683,246.1125037,278.0750041,0.004670833,99355.83333,0.0,1.13333335,-2.633333373,0.138321848,6.42435925188159,0.9424590678644124
2005-01-13,95.65000143,240.5291703,277.0458375,0.003716667,99760.0,0.0,-0.354166672,-1.329166686,0.138012696,3.6771335407830086,0.8099890555347077
2005-01-14,77.51666782,267.650004,276.5166708,0.003504167,99701.25,0.0,-0.404166673,-1.266666686,0.137702908,5.451553520693687,0.7926049857185993
2005-01-15,97.79583479,276.6083375,277.7875041,0.003525,99789.58333,0.0,-0.641666676,-1.045833349,0.13739312,8.42533964114576,0.7290304940086861
