feature,importance_mean,importance_std
camera,0.3062434776941299,0.0025277384433247314
tmin,0.2435564922033424,0.002479519165007064
dtgw,0.23940062831082728,0.0027757771827864974
vpd,0.22059128490154545,0.0033592760589318277
tmax,0.21916801156079835,0.0037603480545800707
et,0.2015903709925936,0.0038707826221033347
prcp,0.1813824802523499,0.002137855577873923
