feature,mean_abs_shap
tmin,0.00249356178318898
et,0.0020543161016685777
prcp,0.0014337645337193408
vpd,0.001256207794093386
camera,0.0011504033694714623
dtgw,0.0011263753218117391
tmax,0.0009745491100502667
