site,camera,date,prcp,vpd,tmax,tmin,dtgw,et,fp,is_test_mask,fp_pred,fp_final,source
Boquillas,1.5059067396841028,2006-01-01,-0.2734546534706098,-0.49485421694802,-0.8314091199912649,-0.916405600090438,-0.6664490119318981,-0.5696649111581036,,False,,,predicted
Boquillas,1.5059067396841028,2006-01-02,-0.2734546534706098,-0.18026736212253786,-0.38928328755727354,-0.7966257821101417,-0.6664490119318981,-0.5700585285614858,,False,,,predicted
Boquillas,1.5059067396841028,2006-01-03,-0.2734546534706098,-0.48663948275995955,-0.838067641564066,-0.6928166065272183,-0.6664490119318981,-0.574556526036222,,False,,,predicted
Boquillas,1.5059067396841028,2006-01-04,-0.2734546534706098,-0.4219132123946916,-0.6795948281314003,-1.4753780839984874,-0.6664490119318981,-0.5839304966708369,,False,,,predicted
Boquillas,1.5059067396841028,2006-01-05,-0.2734546534706098,-0.5122825081330913,-0.839399345878626,-1.1586270097839262,-0.6664490119318981,-0.5766066216595419,,False,,,predicted
Boquillas,1.5059067396841028,2006-01-06,-0.2734546534706098,-0.5204636790967556,-0.8553797976533487,-1.1213621775233893,-0.6664490119318981,-0.5769950322871156,,False,,,predicted
Boquillas,1.5059067396841028,2006-01-07,-0.2734546534706098,-0.17744397504473758,-0.35998579263694896,-1.1732667653148512,-0.6664490119318981,-0.5836647359381784,,False,,,predicted
Boquillas,1.5059067396841028,2006-01-08,-0.2734546534706098,-0.4479040431992088,-0.7515068611176517,-1.0069059070088842,-0.6664490119318981,-0.5799336645796437,,False,,,predicted
Boquillas,1.5059067396841028,2006-01-09,-0.2734546534706098,-0.664227319799276,-1.0791061224994647,-1.3063554519596248,-0.6664490119318981,-0.5912449270085651,,False,,,predicted
Boquillas,1.5059067396841028,2006-01-10,-0.2734546534706098,-0.6363036540951695,-1.0231745412879358,-1.4088337406761005,-0.6664490119318981,-0.586112806399541,,False,,,predicted
Boquillas,1.5059067396841028,2006-01-11,-0.2734546534706098,-0.5463816842720991,-0.8780187710008726,-1.3689071346826684,-0.6664490119318981,-0.5879574231209019,,False,,,predicted
